Metric,On-DDQN,Off-DDQN-4e6,BCQ-4e6,Off-DDQN-4e6-Clean,BCQ-4e6-Clean,Off-DDQN-4e6-Shuffle,BCQ-4e6-Shuffle,Off-DDQN-4e6-Clean-Shuffle,BCQ-4e6-Clean-Shuffle,Off-DDQN-8e6-Clean,BCQ-8e6-Clean
Avg. Episode Reward,-22.72,-32.75,-36.1,-23.55,-25.63,-63.06,-76.75,-30.58,-38.32,-24.72,-25.18
Avg. Veh. Speed,27.66,27.6,27.7,27.44,27.4,27.53,27.36,27.25,27.26,27.48,27.47
Avg. Episode Nb. LC,4.03,5.95,7.12,6.91,6.84,14.55,19.72,7.33,11.24,4.88,5.98
Total Nb. Min. Gap Viol.,10.0,11.0,12.0,3.0,4.0,25.0,31.0,14.0,18.0,10.0,14.0
Total Nb. Invalid LC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Nb. Veh. Collisions,6.0,15.0,18.0,4.0,6.0,36.0,43.0,7.0,10.0,6.0,4.0
