trans_idx,has_right_lane,has_left_lane,driving_in_weaving,dist_to_onramp,dist_to_offramp,leader_gap,leader_relatif_s,follower_gap,follower_relatif_s,left_leader_gap,left_leader_relatif_s,left_follower_gap,left_follower_relatif_s,right_leader_gap,right_leader_relatif_s,right_follower_gap,right_follower_relatif_s,action,reward,done,next_has_right_lane,next_has_left_lane,next_driving_in_weaving,next_dist_to_onramp,next_dist_to_offramp,next_leader_gap,next_leader_relatif_s,next_follower_gap,next_follower_relatif_s,next_left_leader_gap,next_left_leader_relatif_s,next_left_follower_gap,next_left_follower_relatif_s,next_right_leader_gap,next_right_leader_relatif_s,next_right_follower_gap,next_right_follower_relatif_s
10030607,1.0,1.0,1.0,-2.0,0.29,0.26,-0.08,0.2,0.09,0.19,-0.06,0.06,0.15,-2.0,-2.0,-2.0,-2.0,2,-1.44,False,1.0,1.0,1.0,-2.0,0.1,0.22,-0.06,0.11,0.12,-2.0,-2.0,0.08,0.55,0.28,-0.07,0.23,0.09
10030610,1.0,1.0,0.0,-2.0,-2.0,0.27,0.08,0.99,-0.06,0.61,0.05,-2.0,-2.0,-2.0,-2.0,0.41,0.09,2,-1.18,False,1.0,0.0,0.0,-2.0,-2.0,0.62,-0.05,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.28,-0.02,0.94,-0.15
10030614,1.0,0.0,0.0,-2.0,-2.0,0.62,-0.05,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.28,-0.02,0.94,-0.15,1,-0.14,False,1.0,0.0,0.0,-2.0,-2.0,0.63,-0.03,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.28,0.01,0.9,-0.13
10030615,1.0,0.0,0.0,-2.0,-0.09,-2.0,-2.0,0.24,0.5,-2.0,-2.0,-2.0,-2.0,0.25,-0.09,0.15,0.13,2,-30.0,False,1.0,0.0,0.0,-2.0,-0.31,-2.0,-2.0,0.41,0.5,-2.0,-2.0,-2.0,-2.0,0.27,-0.07,0.19,0.12
10030618,1.0,0.0,0.0,-2.0,-2.0,0.63,-0.03,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.28,0.01,0.9,-0.13,1,-0.11,False,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.27,0.03,0.86,-0.11
10030622,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.27,0.03,0.86,-0.11,1,19.93,True,0.0,1.0,0.0,-2.0,-2.0,0.59,-0.25,0.32,-0.06,0.12,-0.24,0.38,0.25,-2.0,-2.0,-2.0,-2.0
10030631,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.66,0.15,-2.0,-2.0,-2.0,-2.0,0.31,-0.02,0.28,0.08,1,-0.16,False,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.7,0.12,-2.0,-2.0,-2.0,-2.0,0.31,-0.01,0.3,0.06
10030635,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.7,0.12,-2.0,-2.0,-2.0,-2.0,0.31,-0.01,0.3,0.06,1,-0.13,False,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.73,0.1,-2.0,-2.0,-2.0,-2.0,0.31,-0.0,0.32,0.05
10030659,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.81,0.02,-2.0,-2.0,-2.0,-2.0,0.28,0.03,0.34,0.01,1,-0.06,False,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.81,0.01,-2.0,-2.0,-2.0,-2.0,0.27,0.03,0.35,0.0
10030679,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.82,-0.0,-2.0,-2.0,-2.0,-2.0,0.23,0.03,0.35,0.0,1,-0.05,False,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.81,-0.01,-2.0,-2.0,-2.0,-2.0,0.86,0.03,0.35,0.0
10030700,1.0,0.0,0.0,-2.0,-2.0,0.39,-0.02,0.37,0.0,-2.0,-2.0,-2.0,-2.0,0.63,0.15,0.21,0.26,1,-0.16,False,1.0,0.0,0.0,-2.0,-2.0,0.4,-0.02,0.38,0.01,-2.0,-2.0,-2.0,-2.0,0.58,0.13,0.3,0.26
10030704,1.0,0.0,0.0,-2.0,-2.0,0.4,-0.02,0.38,0.01,-2.0,-2.0,-2.0,-2.0,0.58,0.13,0.3,0.26,1,-0.15,False,1.0,0.0,0.0,-2.0,-2.0,0.41,-0.03,0.38,0.01,-2.0,-2.0,-2.0,-2.0,0.54,0.12,0.39,0.27
10030712,1.0,0.0,0.0,-2.0,-2.0,0.42,-0.04,0.38,0.01,-2.0,-2.0,-2.0,-2.0,0.51,0.11,0.46,0.21,1,19.87,True,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.32,-0.05,-2.0,-2.0,-2.0,-2.0,0.33,-0.44,0.0,-0.2
10030719,1.0,1.0,0.0,-2.0,-2.0,0.65,0.1,0.81,0.02,-2.0,-2.0,-2.0,-2.0,0.09,0.07,0.38,0.04,2,-1.08,False,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.63,0.07,0.81,-0.03
10030731,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.57,0.1,0.8,-0.01,1,-0.05,False,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.54,0.09,0.8,-0.0
10030735,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.54,0.09,0.8,-0.0,1,-0.05,False,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.51,0.07,0.8,-0.0
10030739,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.51,0.07,0.8,-0.0,1,19.96,True,1.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.01,-0.4,0.32,-0.07,-0.02,-0.33,0.49,-0.45
